,name,family,z,solvent_model,solvent,nelect,H_cplx_ox,S_cplx_ox,G_cplx_ox,r_A_ox,r_AX_ox,H_cplx_rad,S_cplx_rad,G_cplx_rad,r_A_rad,r_AX_rad,H_cplx_red,S_cplx_red,G_cplx_red,r_A_red,r_AX_red
33,mol_14,Family.P5O,0,SMD,water,78,-638.694397674701,0.000126836362057397,-638.732213936049,3.27382959619082,5.40610363200025,-638.694951261696,0.000125584395037023,-638.732394249076,3.27473202482638,4.6673372529948,-638.693375353178,0.000128375322245309,-638.731650455505,3.23709229101814,4.95534860336261
34,mol_15,Family.P5O,0,SMD,water,100,-638.695217912667,0.00012489283255723,-638.732454710694,3.5736688630572,5.10070019410311,-638.692845811753,0.000118767961127175,-638.728256479363,3.81647135307056,5.35684829757639,-638.695403225799,0.000121880138284098,-638.731741789029,3.73778571603481,5.65487622640677
35,mol_16,Family.P5O,0,SMD,water,86,-638.696535172417,0.000122082231829908,-638.732933989837,3.26773570594221,4.96713252146491,-638.691451167588,0.000129457048581893,-638.730048786623,3.26347554063171,6.04012177668675,-638.691581618316,0.000127457421138268,-638.729583048428,3.23586999801747,5.96833023346762
36,mol_17,Family.P5O,0,SMD,water,94,-638.695298082891,0.00012629082318448,-638.732951691823,3.46851203682025,5.51137435995204,-638.69381180141,0.000130935742869035,-638.732850293146,3.48298113621032,5.51448885046712,-638.693227266302,0.000125378999641283,-638.730609015045,3.84970381559947,5.10141810608892
37,mol_18,Family.P5O,0,SMD,water,86,-638.697590636084,0.000120384571250255,-638.733483296002,3.2499184472394,4.92236208920044,-638.696623521191,0.000128973072544497,-638.735076842771,3.24821698195264,4.98856622782605,-638.692316118574,0.000124977206692883,-638.72957807275,3.2356821276325,6.64971090460382
38,mol_19,Family.P5O,0,SMD,water,132,-638.694804830773,0.000115832226882089,-638.729340209218,4.20439476310829,5.30430109800002,-638.691543006077,0.000118113732404995,-638.726758615393,4.19188068754572,5.3594484027833,-638.694503442252,0.000124340816253366,-638.731575656618,4.32615950086574,6.67687748714412
39,mol_20,Family.P5O,0,SMD,water,122,-638.684986891413,0.000121397950748405,-638.721181690429,3.80572575679746,6.61621509895879,-638.686597706808,0.000118204232124686,-638.721840298616,3.80755147565832,5.3576347858744,-638.691133396786,0.000126037772596914,-638.728711558686,3.81211340901852,5.70672178362871
40,mol_21,Family.P5O,1,SMD,water,86,-638.700899794284,0.000108313666238729,-638.733193513873,3.26833966762406,4.68055002737124,-638.701724189397,0.000116812341320201,-638.736551788962,3.23921612308815,4.53681326271231,-638.699347637886,0.000122014431726165,-638.735726240705,3.23350715583864,5.13988660073963
41,mol_22,Family.P5O,0,SMD,water,78,-638.695449389746,0.00012859340038947,-638.733789512072,3.23684041339757,4.71395575747841,-638.694996668953,0.000122404902720242,-638.731491690699,3.22926600741787,4.60815656896326,-638.695474384121,0.000125799714476787,-638.732981568992,3.17900656632826,4.86726543694008
42,mol_23,Family.IIO,0,SMD,water,102,-638.700193221235,0.000116390334424983,-638.734894999443,3.60003256980425,4.97914353769348,-638.697984582816,0.000115874675953101,-638.732532617452,3.60389065500414,5.66277510832028,-638.694043910661,0.000126428850235211,-638.731738672359,3.61874055725326,6.00940852650988
