id,name,family,z,solvent_model,solvent,nelect,H_cplx_ox,S_cplx_ox,G_cplx_ox,r_A_ox,r_AX_ox,H_cplx_rad,S_cplx_rad,G_cplx_rad,r_A_rad,r_AX_rad,H_cplx_red,S_cplx_red,G_cplx_red,r_A_red,r_AX_red
48,mol_29,Family.IIO,0,SMD,water,124,-424.630470480722,5.89195022190239E-05,-424.648037330308,4.29907703919012,4.31139859012461,-214.067775194621,6.67026503927779E-05,-214.087662589836,4.29444573471139,5.84515468655,-214.07265512334,5.9841716059121E-05,-214.090496930983,4.23505595307039,4.79112573921879
49,mol_30,Family.IIO,0,SMD,water,146,-424.631310547849,6.28077872589962E-05,-424.65003668962,4.321985817716,4.31834885094426,-214.067365988709,6.65995682683652E-05,-214.087222649988,4.32177487180442,5.91534721471126,-214.073270074607,6.13222902502107E-05,-214.091553315445,4.35132193646759,4.76480063323667
50,mol_31,Family.IIO,0,SMD,water,146,-424.631208303664,5.37335422547691E-05,-424.647228959288,4.61009857081325,4.62754006459864,-214.067783215248,6.28337428745951E-05,-214.086517095686,4.6009698015665,6.58929690143254,-214.073438221776,6.04700476411918E-05,-214.09146736648,4.62024587000981,4.77612483014888
51,mol_32,Family.IIO,0,SMD,water,146,-424.628413057029,6.2095726854456E-05,-424.64692689799,4.57149916617225,4.63454825246292,-214.063735606563,7.36862022093554E-05,-214.085705147752,4.56747048305568,6.52635572634523,-214.072297029637,6.65175107008936E-05,-214.092129225452,4.5779205286081,4.76274417825766
52,mol_33,Family.IIO,0,SMD,water,146,-424.631148795261,5.65722931006195E-05,-424.648015824449,4.63060607615212,4.6303368126793,-214.067429147192,6.32022031644679E-05,-214.086272884065,4.64039578697127,6.57591710726173,-214.066109075483,7.1442811036112E-05,-214.087409749593,4.65278489164548,5.62783844208
53,mol_34,Family.IIO,0,SMD,water,118,-424.630485225626,5.88021176334183E-05,-424.648017076999,4.6936103054596,4.71139189181934,-214.06783720911,6.94881960409078E-05,-214.088555114759,4.70507542817828,6.82547879035217,-214.07078675887,6.82075998427646E-05,-214.091122854763,4.23780741728016,4.74485610443935
54,mol_35,Family.IIO,1,SMD,water,110,-424.635062124309,5.16884485632057E-05,-424.650473035248,4.0540988952302,4.44867019191161,-214.067063434288,6.58145421254069E-05,-214.086686040023,4.04360687743706,6.16769182285041,-214.070934006501,6.38960213854742E-05,-214.089984605277,4.06504062322419,4.69140994330397
55,mol_36,Family.APO,0,SMD,water,128,-424.631357491122,5.64395107238423E-05,-424.648184931244,4.12764896552243,4.14471722168354,-214.067204257188,6.67515971799612E-05,-214.087106245887,4.14158013568984,5.71123678160658,-214.074295849577,5.99611913049728E-05,-214.092173278764,4.13165338511108,4.63780311368639
56,mol_37,Family.APO,0,SMD,water,150,-424.631203003221,0.0000559964156534,-424.647898334548,4.57780004453106,4.55808950683838,-214.066873879385,6.90780594932848E-05,-214.087469502823,4.61589282940579,6.37504958968732,-214.074533949438,6.2974686037632E-05,-214.093309852081,4.61245935896863,4.72184313980789
57,mol_38,Family.APO,0,SMD,water,150,-424.631427101015,5.67479753737468E-05,-424.648346509872,5.20696062232981,5.00594086300914,-214.06654941275,6.17475399125568E-05,-214.084959441774,5.18245417972162,6.74636026450685,-214.074877962805,6.64371089000213E-05,-214.094686186823,5.00162784600443,4.98758936618723
