name,family,z,hammet,r,px,Qxx,method,has_cation,has_anion,solvent_model,solvent,E_ox,E_red,r_ox,r_rad,r_red
mol_24,Family.IIO,0,,2.185,1.5472,10.5503,wB97XD/6-311+G(d),False,False,SMD,water,5.29327291586299,3.07132969574283,4.5780588711069,4.57531548290755,4.61712714435498
mol_25,Family.IIO,0,,2.186,-0.6864,3.2565,wB97XD/6-311+G(d),False,False,SMD,water,5.22949529280957,2.95646953770514,4.04528514790856,4.01832808569626,4.0135152665075
mol_26,Family.IIO,0,,2.185,0.4589,1.519,wB97XD/6-311+G(d),False,False,SMD,water,5.22863976409796,2.97791217561587,4.64707141960437,4.65879695341169,4.68663430420182
mol_27,Family.IIO,0,,2.185,0.0706,5.1173,wB97XD/6-311+G(d),False,False,SMD,water,5.24544370341398,2.98977690726123,3.94413723237339,3.9390331485716,3.98019933445928
mol_28,Family.IIO,0,,2.184,1.5248,9.8977,wB97XD/6-311+G(d),False,False,SMD,water,5.2385882162147,2.79440471561261,5.00972614999887,5.00429743949111,5.06679797193711
mol_29,Family.IIO,0,,2.186,-0.0132,6.6523,wB97XD/6-311+G(d),False,False,SMD,water,5.28420394589238,3.08318863146674,4.29907703919012,4.29444573471139,4.23505595307039
mol_30,Family.IIO,0,,2.184,-0.9097,4.4441,wB97XD/6-311+G(d),False,False,SMD,water,5.3649453669085,3.11742014652626,4.321985817716,4.32177487180442,4.35132193646759
mol_31,Family.IIO,0,,2.184,-0.2861,15.4518,wB97XD/6-311+G(d),False,False,SMD,water,5.32014895610029,3.12211961716224,4.61009857081325,4.6009698015665,4.62024587000981
mol_32,Family.IIO,0,,2.185,1.777,7.2808,wB97XD/6-311+G(d),False,False,SMD,water,5.3437937417028,3.10656313459988,4.57149916617225,4.56747048305568,4.5779205286081
mol_33,Family.IIO,0,,2.183,2.9025,8.7624,wB97XD/6-311+G(d),False,False,SMD,water,5.34266785086663,3.03659835299877,4.63060607615212,4.64039578697127,4.65278489164548
mol_34,Family.IIO,0,,2.186,-0.5643,7.1794,wB97XD/6-311+G(d),False,False,SMD,water,5.2719890916395,3.00714161098094,4.6936103054596,4.70507542817828,4.23780741728016
mol_35,Family.IIO,1,,2.184,,,wB97XD/6-311+G(d),False,False,SMD,water,5.34337091837798,3.06268927729238,4.0540988952302,4.04360687743706,4.06504062322419
mol_36,Family.APO,0,,2.815,0.6622,6.2,wB97XD/6-311+G(d),False,False,SMD,water,5.24503751141682,3.09501910813883,4.12764896552243,4.14158013568984,4.13165338511108
mol_37,Family.APO,0,,2.811,0.7912,7.4587,wB97XD/6-311+G(d),False,False,SMD,water,5.25949355913056,3.1493337628744,4.57780004453106,4.61589282940579,4.61245935896863
mol_38,Family.APO,0,,2.82,1.2834,13.2211,wB97XD/6-311+G(d),False,False,SMD,water,5.3042387599651,3.07841504264807,5.20696062232981,5.18245417972162,5.00162784600443
mol_39,Family.APO,0,,2.833,1.9568,11.571,wB97XD/6-311+G(d),False,False,SMD,water,5.29617997732635,3.14623429941273,5.09976885218033,5.09301939666688,5.11159295908086
mol_40,Family.APO,0,,2.808,1.7379,9.8103,wB97XD/6-311+G(d),False,False,SMD,water,5.30641760295069,3.18608669821669,5.19380754586539,5.09829481371372,5.16564134192714
mol_41,Family.APO,0,,2.814,1.1379,16.3125,wB97XD/6-311+G(d),False,False,SMD,water,5.29096613179341,3.21079009253368,5.09072370209405,5.04782875297463,5.06156987551372
mol_42,Family.APO,0,,2.817,2.4433,7.6251,wB97XD/6-311+G(d),False,False,SMD,water,5.32819798050952,3.08311588420863,5.07657177338465,5.11657971144486,5.00209377762386
mol_43,Family.APO,0,,2.809,-1.0936,1.3679,wB97XD/6-311+G(d),False,False,SMD,water,5.31172241334269,3.15225305726771,5.46830476949954,5.48504608816475,5.68077322878357
mol_44,Family.APO,0,,2.805,-0.1723,7.1153,wB97XD/6-311+G(d),False,False,SMD,water,5.28890344470528,3.21898628751622,5.32488658000933,5.41108050883563,5.45909114319043
mol_45,Family.APO,0,,2.816,3.616,5.8478,wB97XD/6-311+G(d),False,False,SMD,water,5.31489117699501,3.19031410763919,5.20579179644397,4.90446525257572,4.97985309083735
mol_46,Family.APO,0,,2.832,0.631,14.1215,wB97XD/6-311+G(d),False,False,SMD,water,5.31587494173265,3.15827736489508,5.13893564898702,5.16586873464697,5.15108805707995
mol_47,Family.APO,0,,2.812,-0.4274,9.8951,wB97XD/6-311+G(d),False,False,SMD,water,5.28829513026301,3.13024801360073,5.21518488903053,5.22269932676698,5.55292741692729
mol_48,Family.APO,0,,2.824,3.0369,14.1082,wB97XD/6-311+G(d),False,False,SMD,water,5.31019933248469,3.15922381835354,5.12306184688556,5.13027782886867,4.78981858909083
mol_49,Family.APO,0,,2.787,-0.5235,5.7821,wB97XD/6-311+G(d),False,False,SMD,water,5.14326055620323,3.06678299016813,4.12854210728349,4.14245141032978,4.13913147787968
mol_50,Family.APO,0,,2.816,-0.3712,6.4775,wB97XD/6-311+G(d),False,False,SMD,water,5.2359477635158,3.08417634492206,4.56463442307549,4.5214950639136,4.56930166789311
mol_51,Family.APO,0,,2.821,-0.4093,5.6912,wB97XD/6-311+G(d),False,False,SMD,water,5.18755891181296,3.0569093890044,4.52278219749355,4.50320328075246,4.48537124437374
mol_52,Family.APO,0,,2.812,2.5577,10.409,wB97XD/6-311+G(d),False,False,SMD,water,5.35558407033347,3.19069704080893,4.11209485648962,4.11812011069462,4.11707548683883
mol_53,Family.APO,0,,2.82,5.5317,4.4022,wB97XD/6-311+G(d),False,False,SMD,water,5.36368384178314,3.12865222462233,4.74085710628633,4.7094306174863,4.67876017845047
mol_54,Family.APO,0,,2.831,6.0168,3.2418,wB97XD/6-311+G(d),False,False,SMD,water,5.33240728983703,3.16814474291409,4.6278277758901,4.63501242032709,4.65267302512454
mol_55,Family.APO,0,,2.827,10.0704,9.1996,wB97XD/6-311+G(d),False,False,SMD,water,5.41089218796379,3.23396853362517,4.67364359583287,4.68208272363367,4.67280221391621
mol_56,Family.P5O,0,0.28,2.22,-0.4904,3.9491,wB97XD/6-311+G(d),False,False,SMD,water,5.18531242213804,2.75448835533258,3.79898649388476,3.84592518447493,3.87913419899393
mol_57,Family.P5O,0,0.1,2.211,0.9254,-4.5563,wB97XD/6-311+G(d),False,False,SMD,water,5.07134023189843,2.88671034374848,3.57153545753553,3.54225655495318,3.6026090312843
mol_58,Family.P5O,0,0.28,2.185,0.7039,3.9102,wB97XD/6-311+G(d),False,False,SMD,water,5.3077819527806,2.78368171580655,3.66553405297637,3.65238764774302,3.63958325741259
mol_59,Family.P5O,0,0.1,2.192,-0.3872,2.8533,wB97XD/6-311+G(d),False,False,SMD,water,5.19732984566139,2.91080693786403,3.62579059550545,3.62375842208835,3.6459060657852
mol_60,Family.IIO,0,,2.185,2.4978,4.0087,wB97XD/6-311+G(d),False,False,SMD,water,5.31300627556832,3.03899686297058,4.00609484185769,4.00091299486569,4.01409669357379
